District,Area,col1,col2,col3,col4,col5,
Nowon-gu,Sanggye-dong,1785206573,4007476549,8655,206263.0356,463024.4423,
Nowon-gu,Wolgye-dong,451970208.9,1009364612,2203,205161.2387,458177.3091,
Nowon-gu,Junggye-dong,549778747.7,1223559835,2655,207072.9747,460851.1618,
Nowon-gu,Hagye-dong,178036140.4,396746144.2,863,206299.1199,459729.02,
Dobong-gu,Dobong-dong,728742490.3,1660547949,3576,203787.0499,464359.046,
Dobong-gu,Banghak-dong,844078118.7,1922928928,4154,203196.4657,462910.1898,
Dobong-gu,Ssangmun-dong,964383452.5,2197567234,4762,202516.4747,461479.8895,
Dobong-gu,Chang-dong,1025300859,2319769335,5037,203553.8732,460545.8279,
Dongdaemun-gu,Dapsimni-dong,673322145.3,1485233343,3284,205031.1039,452263.5026,
Dongdaemun-gu,Sinseol-dong,147473142.8,330140046.2,729,202295.1205,452867.0044,
Dongdaemun-gu,Yongdu-dong,811800113.7,1811295914,3999,203000.7786,452937.2127,
Dongdaemun-gu,Imun-dong,1231659370,2729742183,5993,205516.3308,455488.4337,
Dongdaemun-gu,Jangan-dong,812652706.1,1784077796,3944,206047.8464,452352.3823,
Dongdaemun-gu,Jeonnong-dong,912988485.4,2021575155,4459,204751.8469,453369.6243,
Dongdaemun-gu,Jegi-dong,948855496.5,2117634521,4666,203355.2286,453843.6607,
Dongdaemun-gu,Cheongnyangni-dong,573475574.9,1277049701,2812,203938.6824,454142.8523,
Dongdaemun-gu,Hoegi-dong,272114032.4,604716410.5,1330,204597.0168,454673.9929,
Dongdaemun-gu,Hwigyeong-dong,620437692.4,1372377371,3020,205442.9445,454429.5929,
Mapo-gu,Gongdeok-dong,377477425.4,865154619.5,1923,196296.1131,449898.3981,
Mapo-gu,Gusu-dong,21540179.4,49902836.72,111,194055.6703,449575.1056,
Mapo-gu,Nogosan-dong,204688931.7,473971433,1052,194571.2279,450543.1873,
Mapo-gu,Dangin-dong,26627457.46,62050293.91,138,192952.5903,449639.811,
Mapo-gu,Daeheung-dong,328629394.9,758536983.9,1685,195032.2818,450170.3169,
Mapo-gu,Dohwa-dong,167421842.3,384283577.3,856,195586.2643,448929.4128,
Mapo-gu,Donggyo-dong,176800397.7,412126479.9,914,193435.8837,450904.245,
Mapo-gu,Mapo-dong,37666454.83,86582280.27,193,195162.9784,448612.8511,
Mapo-gu,Mangwon-dong,582575374.4,1371274250,3042,191510.6425,450780.4897,
Mapo-gu,Sangsu-dong,142207207,331045161.6,736,193216.3139,449789.6217,
Mapo-gu,Sangam-dong,165660132.5,394221411,870,190413.9454,453128.0587,
Mapo-gu,Seogyo-dong,550758577.8,1286600093,2856,192842.6393,450490.2286,
Mapo-gu,Seongsan-dong,498505420.7,1171794969,2595,192102.2816,451558.755,
Mapo-gu,Singongdeok-dong,92401731.8,211687871,471,196182.0208,449443.4629,
Mapo-gu,Sinsu-dong,251560942.8,582103155.4,1294,194405.6745,449847.879,
Mapo-gu,Sinjeong-dong,4459612.533,10335821.57,23,193896.1971,449383.5464,
Mapo-gu,Ahyeon-dong,306120605.5,703464710.6,1561,196105.4488,450650.0388,
Mapo-gu,Yeonnam-dong,391969715.2,916537025.9,2030,193088.5296,451496.0719,
Mapo-gu,Yeomni-dong,367454811.5,846820677.7,1881,195350.777,450197.0641,
Mapo-gu,Yonggang-dong,66413315.11,153164289.7,341,194760.4549,449162.1399,
Mapo-gu,Jung-dong,62150689.31,146557351.9,324,191823.1152,452337.5057,
